&	మరియు
#	హ్యాష్
@	ఎట్
§	విభాగం
™	ట్రేడ్‌మార్క్
®	నమోదు చేసిన ట్రేడ్‌మార్క్
©	కాపీరైట్
_	అండర్‌స్కోర్
%	శతాంశం
*	నక్షత్రం
+	ప్లస్
-	మైనస్
/	స్లాష్
=	సమానం
^	క్యారెట్
|	నిలువు బార్
~	టిల్డ్
$	డాలర్
£	పౌండ్
€	యూరో
₹	రూపాయి
₩	వోన్
¥	యెన్
°	డిగ్రీ
º	డిగ్రీ
κ	కప్పా
ω	ఓమేగా
α	ఆల్ఫా
ν	న్యూ
δ	డెల్టా
Δ	డెల్టా
Α	ఆల్ఫా
β	బీటా
Β	బీటా
χ	కై
Χ	కై
ε	ఎప్సిలాన్
Ε	ఎప్సిలాన్
φ	ఫై
Φ	ఫై
γ	గామా
Γ	గామా
η	ఎటా
Η	ఎటా
ι	ఐయోటా
Ι	ఐయోటా
κ	కప్పా
Κ	కప్పా
λ	లాంబ్డా
Λ	లాంబ్డా
μ	మ్యూ
Μ	మ్యూ
ν	న్యూ
Ν	న్యూ
ο	ఓమిక్రాన్
Ο	ఓమిక్రాన్
π	పై
Π	పై
θ	థీటా
Θ	థీటా
ρ	రో
Ρ	రో
σ	సిగ్మా
Σ	సిగ్మా
τ	టౌ
Τ	టౌ
υ	ఎప్సిలాన్
Υ	ఎప్సిలాన్
ω	ఓమేగా
Ω	ఓమేగా
ξ	జై
Ξ	జై
ψ	సాই
Ψ	సాই
ζ	జీటా
ζ	జీటా
Ζ	జీటా
±	ప్లస్ మైనస్
∓	మైనస్ ప్లస్
√	వర్గమూలం
∛	ఘనమూలం
∜	నాలుగవ మూలం
∞	అనంతం
≠	అసమానం
≈	సుమారు సమానం
≤	తక్కువ లేదా సమానం
≥	ఎక్కువ లేదా సమానం
<	కంటే తక్కువ
>	కంటే ఎక్కువ
≡	సర్వసమానం
≢	సర్వసమానం కాదు
≅	సుమారు సమానం
∼	సారూప్యం
≃	సుమారు సమానం
≪	చాలా తక్కువ
≫	చాలా ఎక్కువ
∑	మొత్తం
∏	లబ్దం
∫	సమాకలనం
∬	ద్విగుణిత సమాకలనం
∭	త్రిగుణిత సమాకలనం
∮	రేఖా సమాకలనం
∈	సభ్యుడు
∉	సభ్యుడు కాదు
∋	కలిగి ఉంది
∌	కలిగి లేదు
∪	సమ్మేళనం
∩	ఛేదన
∖	సమితి భేదం
⊆	ఉపసమితి
⊂	శుద్ధ ఉపసమితి
⊇	సూపర్‌సెట్
⊃	శుద్ధ సూపర్‌సెట్
⊈	ఉపసమితి కాదు
⊉	సూపర్‌సెట్ కాదు
∅	శూన్య సమితి
∀	అందరికీ
∃	ఉనికిలో ఉంది
∄	ఉనికిలో లేదు
¬	కాదు
∧	మరియు
∨	లేదా
⊕	నేరు మొత్తం
⊗	నేరు లబ్దం
⊥	లంబం
∥	సమాంతరం
∠	కోణం
∟	లంబ కోణం
∂	పాక్షిక అవకలనం
∇	నాబ్లా
∝	అనుపాతం
∴	కావున
∵	ఎందుకంటే
∶	నిష్పత్తి
ℝ	వాస్తవ సంఖ్యలు
ℂ	సంకీర్ణ సంఖ్యలు
ℕ	సహజ సంఖ్యలు
ℤ	పూర్ణాంకాలు
ℚ	అకరణీయ సంఖ్యలు
⟹	సూచిస్తుంది
⟸	వెనుకకు సూచిస్తుంది
⟺	ద్విదిశా సూచిక
⟷	సమానార్థకం
→	కుడి బాణం
←	ఎడమ బాణం
↔	రెండు వైపుల బాణం
↑	పై బాణం
↓	కింది బాణం
×	గుణించి
÷	భాగించి
