°C	ডিগ্ৰী চেলছিয়াছ
°F	ডিগ্ৰী ফাৰেনহাইট
K	কেলভিন
g	গ্ৰাম
kg	কিলোগ্ৰাম
mg	মিলিগ্ৰাম
cg	চেণ্টিগ্ৰাম
dg	ডেচিগ্ৰাম
Tg	টেৰাগ্ৰাম
Mg	মেগাগ্ৰাম
Gg	গিগাগ্ৰাম
hg	হেক্টোগ্ৰাম
dag	ডেকাগ্ৰাম
lb	পাউণ্ড
oz	আউন্স
t	টন
st	ষ্টোন
q	কুইণ্টেল
m	মিটাৰ
cm	চেণ্টিমিটাৰ
mm	মিলিমিটাৰ
km	কিলোমিটাৰ
dm	ডেচিমিটাৰ
dam	ডেকামিটাৰ
nm	নেনোমিটাৰ
hm	হেক্টোমিটাৰ
Mm	মেগামিটাৰ
my	মিৰিয়ামিটাৰ
mi	মাইল
ft	ফুট
in	ইঞ্চি
yd	য়াৰ্ড
µm	মাইক্ৰোমিটাৰ
m²	বৰ্গ মিটাৰ
cm²	বৰ্গ চেণ্টিমিটাৰ
mm²	বৰ্গ মিলিমিটাৰ
km²	বৰ্গ কিলোমিটাৰ
hm²	বৰ্গ হেক্টোমিটাৰ
dm²	বৰ্গ ডেচিমিটাৰ
dam²	বৰ্গ ডেকামিটাৰ
yd²	বৰ্গ য়াৰ্ড
ft²	বৰ্গ ফুট
ac²	বৰ্গ একৰ
my²	বৰ্গ মিৰিয়ামিটাৰ
mi²	বৰ্গ মাইল
nm²	বৰ্গ নেনোমিটাৰ
µm²	বৰ্গ মাইক্ৰোমিটাৰ
in²	বৰ্গ ইঞ্চি
my³	ঘন মিৰিয়ামিটাৰ
mi³	ঘন মাইল
ac³	ঘন একৰ
ha	হেক্টৰ
ac	একৰ
গজ	গজ
গজ²	বৰ্গ গজ
গজ³	ঘন গজ
m³	ঘন মিটাৰ
cm³	ঘন চেণ্টিমিটাৰ
mm³	ঘন মিলিমিটাৰ
dam³	ঘন ডেকামিটাৰ
µm³	ঘন মাইক্ৰোমিটাৰ
ml³	ঘন মিলিলিটাৰ
l	লিটাৰ
kl	কিলোলিটাৰ
ml	মিলিলিটাৰ
ml²	বৰ্গ মিলিলিটাৰ
dl	ডেচিলিটাৰ
hl	হেক্টোলিটাৰ
cl	চেণ্টিলিটাৰ
dal	ডেকালিটাৰ
dl²	বৰ্গ ডেচিলিটাৰ
dal²	বৰ্গ ডেকালিটাৰ
dl³	ঘন ডেচিলিটাৰ
dal³	ঘন ডেকালিটাৰ
L	লিটাৰ
kL	কিলোলিটাৰ
mL	মিলিলিটাৰ
mL²	বৰ্গ মিলিলিটাৰ
mL³	ঘন মিলিলিটাৰ
dL	ডেচিলিটাৰ
hL	হেক্টোলিটাৰ
cL	চেণ্টিলিটাৰ
daL	ডেকালিটাৰ
dL²	বৰ্গ ডেচিলিটাৰ
daL²	বৰ্গ ডেকালিটাৰ
dL³	ঘন ডেচিলিটাৰ
daL³	ঘন ডেকালিটাৰ
GB	গিগাবাইট
in³	ঘন ইঞ্চি
ft³	ঘন ফুট
yd³	ঘন য়াৰ্ড
my³	ঘন মিৰিয়ামিটাৰ
mi³	ঘন মাইল
dm³	ঘন ডেচিমিটাৰ
km³	ঘন কিলোমিটাৰ
nm³	ঘন নেনোমিটাৰ
mm³	ঘন মিলিমিটাৰ
qt	কোৱাৰ্ট
gal	গেলন
pt	পাইণ্ট
W	ৱাট
MW	মেগাৱাট
KW	কিলোৱাট
b	বিট
Mb	মেগাবিট
B	বাইট
GB	গিগাবাইট
KB	কিলোবাইট
TB	টেৰাবাইট
MB	মেগাবাইট
PB	পেটাবাইট
EB	এক্সাবাইট
ZB	জেটাবাইট
YB	য়োটাবাইট
BB	ব্ৰ'ণ্টোবাইট
C	কুলম্ব
V	ভ'ল্ট
Pa	পাস্কেল
A	এম্পিয়াৰ
J	জুল
s	ছেকেণ্ড
hr	ঘণ্টা
h	ঘণ্টা
min	মিনিট
ha	হেক্টৰ
ha²	বৰ্গ হেক্টৰ
Ω	অ'ম
MΩ	মেগা অ'ম
doz	ডজন
Hz	হাৰ্টজ
GHz	গিগা হাৰ্টজ
KHz	কিলো হাৰ্টজ
N	নিউটন
dB	ডেচিবেল
yr	বছৰ
hp	অশ্বশক্তি
d	দিন
month	মাহ
months	মাহ
ct	কেৰেট
pH	পিএইচ
km/h	কিলোমিটাৰ প্ৰতি ঘণ্টা
km/hr	কিলোমিটাৰ প্ৰতি ঘণ্টা
km/min	কিলোমিটাৰ প্ৰতি মিনিট
m/h	মিটাৰ প্ৰতি ঘণ্টা
m/hr	মিটাৰ প্ৰতি ঘণ্টা
mi/s	মাইল প্ৰতি ছেকেণ্ড
mi/h	মাইল প্ৰতি ঘণ্টা
mi/hr	মাইল প্ৰতি ঘণ্টা
mi/min	মাইল প্ৰতি মিনিট
₹/ac	টকা প্ৰতি একৰ
x	গুণ
X	গুণ
*	গুণ
%	শতাংশ
